"ID";"PROGENY";"GA_PARENT";"GB_PARENT";"PARCEL";"PLOT";"X_POSITION";"Y_POSITION";"EVENT_T1S";"Y_T1S";"EVENT_TD";"Y_TD"
"D4L1_30";"D4L1";"D4";"L1";"44A";52;33;5.5;1;25.5;0;25.5
"D5L3_28";"D5L3";"D5";"L3";"44A";56;33;6.5;1;25.5;0;25.5
"D5L3_29";"D5L3";"D5";"L3";"44A";56;33;7.5;1;23.5;0;25.5
"D5L3_30";"D5L3";"D5";"L3";"44A";56;33;8.5;1;18.5;1;20.5
"D1Y1_28";"D1Y1";"D1";"Y1";"44A";60;33;9.5;1;22;0;25.5
"D1Y1_29";"D1Y1";"D1";"Y1";"44A";60;33;10.5;0;25.5;0;25.5
"D1Y1_30";"D1Y1";"D1";"Y1";"44A";60;33;11.5;1;25.5;0;25.5
"D1L3_28";"D1L3";"D1";"L3";"44A";64;33;12.5;1;23.5;1;25.5
"D1L3_29";"D1L3";"D1";"L3";"44A";64;33;13.5;1;20.5;1;22
"D1L3_30";"D1L3";"D1";"L3";"44A";64;33;14.5;1;21.5;1;25
"D2L3_16";"D2L3";"D2";"L3";"44A";51;34;3;1;24.5;0;25.5
"D2L3_17";"D2L3";"D2";"L3";"44A";51;34;4;1;25.5;0;25.5
"D2L3_18";"D2L3";"D2";"L3";"44A";51;34;5;1;25.5;0;25.5
"D2L1_16";"D2L1";"D2";"L1";"44A";55;34;6;1;25.5;0;25.5
"D2L1_17";"D2L1";"D2";"L1";"44A";55;34;7;1;18;1;21.5
