palm_id,t,status,at_risk,deg,n_nb_obs,n_nb_sympt,n_nb_dead,prev_global
D4L1_25,0.5,A,1,3,3,0,0,0.0008333333333333334
D4L1_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_27,0.5,A,1,5,5,0,0,0.0008333333333333334
D4L1_28,0.5,A,1,5,5,0,0,0.0008333333333333334
D4L1_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_30,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_28,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_30,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_28,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_30,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_28,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_30,0.5,A,1,3,3,0,0,0.0008333333333333334
D2L3_16,0.5,A,1,3,3,0,0,0.0008333333333333334
D2L3_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_18,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_18,0.5,A,1,6,6,0,0,0.0008333333333333334
