palm_id,progeny,ga_parent,gb_parent,parcel,plot,xm,ym,event_t1s,y_t1s,event_td,y_td,fold
D3L3_29,D3L3,D3,L3,44A,66,19.91858428704209,4.5,1,16.0,1,16.5,44A
D3L3_30,D3L3,D3,L3,44A,66,19.91858428704209,5.5,0,23.5,0,23.5,44A
D2Y1_13,D2Y1,D2,Y1,44A,70,19.91858428704209,6.5,0,25.5,0,25.5,44A
D2Y1_14,D2Y1,D2,Y1,44A,70,19.91858428704209,7.5,1,23.5,0,25.5,44A
D2Y1_15,D2Y1,D2,Y1,44A,70,19.91858428704209,8.5,0,25.5,0,25.5,44A
D3Y1_25,D3Y1,D3,Y1,44A,74,19.91858428704209,9.5,0,25.5,0,25.5,44A
D3Y1_26,D3Y1,D3,Y1,44A,74,19.91858428704209,10.5,0,25.5,0,25.5,44A
D3Y1_27,D3Y1,D3,Y1,44A,74,19.91858428704209,11.5,1,14.5,1,18.5,44A
D3Y1_28,D3Y1,D3,Y1,44A,78,19.91858428704209,12.5,1,15.0,1,18.5,44A
D3Y1_29,D3Y1,D3,Y1,44A,78,19.91858428704209,13.5,1,25.0,0,25.5,44A
D3Y1_30,D3Y1,D3,Y1,44A,78,19.91858428704209,14.5,1,17.5,1,18.5,44A
D5L2_1,D5L2,D5,L2,44A,65,20.784609690826528,3.0,1,11.0,1,11.5,44A
D5L2_2,D5L2,D5,L2,44A,65,20.784609690826528,4.0,1,25.0,0,25.5,44A
D5L2_3,D5L2,D5,L2,44A,65,20.784609690826528,5.0,1,25.5,0,25.5,44A
D5L3_1,D5L3,D5,L3,44A,69,20.784609690826528,6.0,1,25.0,0,25.5,44A
D5L3_2,D5L3,D5,L3,44A,69,20.784609690826528,7.0,1,23.0,0,25.5,44A
D5L3_3,D5L3,D5,L3,44A,69,20.784609690826528,8.0,1,25.5,0,25.5,44A
D2L3_1,D2L3,D2,L3,44A,73,20.784609690826528,9.0,1,25.0,0,25.5,44A
D2L3_2,D2L3,D2,L3,44A,73,20.784609690826528,10.0,1,23.5,1,25.0,44A
D2L3_3,D2L3,D2,L3,44A,73,20.784609690826528,11.0,1,13.0,1,14.0,44A
