a,b,parcel
D3Y1_27,D2L3_3,44A
D3Y1_27,D4L3_1,44A
D5L2_10,D5L2_11,44A
D5L2_8,D5L2_11,44A
D5L2_1,D5L2_4,44A
D5L2_4,D5L2_7,44A
D5L2_2,D5L2_4,44A
D5L2_4,D5L2_5,44A
D5L2_4,D5L2_8,44A
D5L2_1,D5L2_2,44A
D5L2_7,D5L2_10,44A
D5L2_7,D5L2_8,44A
D5L2_8,D5L2_10,44A
D5L2_2,D5L2_5,44A
D5L2_5,D5L2_8,44A
D5L2_9,D5L2_11,44A
D5L2_11,D5L2_12,44A
D5L2_2,D5L2_3,44A
D5L2_3,D5L2_5,44A
D5L2_5,D5L2_9,44A
D5L2_5,D5L2_6,44A
D5L2_8,D5L2_9,44A
D5L2_3,D5L2_6,44A
D5L2_3,D5L3_1,44A
D5L2_6,D5L2_9,44A
D5L2_9,D5L2_12,44A
D5L2_9,D5L3_7,44A
D5L3_1,D5L2_6,44A
D5L2_6,D5L3_4,44A
D5L2_6,D5L3_7,44A
D5L2_12,D5L3_10,44A
D5L3_7,D5L2_12,44A
D5L3_1,D5L3_2,44A
D5L3_1,D5L3_4,44A
D5L3_2,D5L3_4,44A
D5L3_7,D5L3_10,44A
D5L3_8,D5L3_10,44A
D5L3_4,D5L3_7,44A
D5L3_4,D5L3_8,44A
D5L3_7,D5L3_8,44A
D5L2_11,D5L2_14,44A
D5L2_10,D5L2_13,44A
D5L2_10,D5L2_14,44A
D5L2_11,D5L2_15,44A
D5L2_12,D5L2_15,44A
D5L2_12,D5L3_13,44A
D5L3_10,D5L3_13,44A
D5L3_10,D5L3_14,44A
D4L1_20,D4L1_23,44A
D4L1_22,D4L1_23,44A
D4L1_20,D4L1_22,44A
D4L1_16,D4L1_20,44A
D4L1_19,D4L1_20,44A
D4L1_17,D4L1_20,44A
D5L2_13,D5L2_14,44A
D5L2_13,D4L1_16,44A
D4L1_19,D4L1_22,44A
D5L2_14,D4L1_16,44A
D5L2_14,D4L1_17,44A
D4L1_16,D4L1_19,44A
D4L1_16,D4L1_17,44A
D4L1_21,D4L1_23,44A
D4L1_23,D4L1_24,44A
D4L1_20,D4L1_21,44A
D5L2_14,D5L2_15,44A
D5L2_15,D4L1_17,44A
D4L1_17,D4L1_21,44A
