rank,palm_id,parcel,plot,progeny,xm,ym,in_risk_set,status,logit,risk_percentile,risk_decile,n_neighbours,n_sick_neighbours
94,D5L2_26,44A,59,D5L2,32.0429,10.5000,1,A,0.178367,86.14,9,6,2
95,D4L1_23,44A,52,D4L1,26.8468,4.5000,1,A,0.177969,85.99,9,6,2
96,D5L2_12,44A,65,D5L2,23.3827,5.5000,1,A,0.177707,85.84,9,6,2
97,D2L1_95,44B,28,D2L1,20.7846,26.0000,1,A,0.176726,85.69,9,6,3
98,D4L1_18,44A,52,D4L1,25.1147,5.5000,1,A,0.175877,85.54,9,6,2
99,D3L2_57,44B,25,D3L2,33.7750,27.5000,1,A,0.173166,85.39,9,6,2
100,D2L1_36,44A,54,D2L1,34.6410,8.0000,1,A,0.173083,85.25,9,6,4
101,D5L2_21,44A,59,D5L2,30.3109,11.5000,1,A,0.172936,85.10,9,6,3
102,D1Y1_45,44A,38,D1Y1,54.5596,8.5000,1,A,0.172534,84.95,9,6,3
103,D5L2_60,44B,29,D5L2,34.6410,24.0000,1,A,0.171393,84.80,9,6,3
104,D2Y1_66,44B,7,D2Y1,40.7032,30.5000,1,A,0.171204,84.65,9,6,3
105,D2L1_84,44B,28,D2L1,19.0526,27.0000,1,A,0.170918,84.50,9,6,4
106,D1Y1_30,44A,60,D1Y1,28.5788,11.5000,1,A,0.170877,84.35,9,6,3
107,D5L2_54,44B,29,D5L2,32.9090,24.0000,1,A,0.170068,84.20,9,6,3
108,D3L2_73,44B,16,D3L2,38.9711,22.5000,1,A,0.168055,84.05,9,5,5
109,D5L3_63,44B,15,D5L3,39.8372,24.0000,1,A,0.167811,83.90,9,6,4
110,D3Y1_26,44A,74,D3Y1,19.9186,10.5000,1,A,0.165549,83.76,9,6,4
111,D3L1_40,44A,42,D3L1,53.6936,9.0000,1,A,0.165324,83.61,9,6,3
112,D2L1_120,44B,12,D2L1,37.2391,27.5000,1,A,0.164976,83.46,9,6,4
113,D3Y1_112,44B,18,D3Y1,28.5788,31.5000,1,A,0.161608,83.31,9,6,6
114,D4L1_39,44A,41,D4L1,57.1577,11.0000,1,A,0.160768,83.16,9,6,3
115,D1Y1_53,44B,22,D1Y1,28.5788,29.5000,1,A,0.158533,83.01,9,6,3
116,D4L1_28,44A,52,D4L1,28.5788,3.5000,1,A,0.157809,82.86,9,5,3
117,D3L2_54,44B,25,D3L2,32.9090,27.0000,1,A,0.157116,82.71,9,6,3
118,D5L3_56,44B,31,D5L3,25.1147,23.5000,1,A,0.156716,82.56,9,6,3
119,D1Y1_10,44A,72,D1Y1,10.3923,6.0000,1,A,0.156208,82.41,9,6,3
120,D1Y1_72,44B,2,D1Y1,46.7654,33.0000,1,A,0.155406,82.27,9,5,3
121,D1L3_9,44A,68,D1L3,9.5263,5.5000,1,A,0.155340,82.12,9,6,3
122,D2Y1_35,44A,36,D2Y1,43.3013,4.0000,1,A,0.154340,81.97,9,6,3
123,D5L3_8,44A,69,D5L3,22.5167,7.0000,1,A,0.153979,81.82,9,6,4
124,D1Y1_57,44B,22,D1Y1,29.4449,30.0000,1,A,0.151765,81.67,9,6,3
125,D3Y1_62,44A,39,D3Y1,46.7654,7.0000,1,A,0.150573,81.52,9,6,4
126,D4L3_38,44A,34,D4L3,52.8275,4.5000,1,A,0.150548,81.37,9,6,3
127,D5L3_48,44B,31,D5L3,22.5167,24.0000,1,A,0.150032,81.22,9,6,4
128,D5L3_15,44A,69,D5L3,24.2487,8.0000,1,A,0.144351,81.07,9,6,3
129,D1Y1_31,44A,38,D1Y1,51.0955,6.5000,1,A,0.142618,80.92,9,6,3
130,D2Y1_5,44A,70,D2Y1,17.3205,7.0000,1,A,0.142514,80.77,9,6,2
131,D4L1_33,44A,41,D4L1,55.4256,11.0000,1,A,0.142342,80.63,9,6,2
132,D1Y1_24,44A,60,D1Y1,26.8468,11.5000,1,A,0.141621,80.48,9,6,2
133,D4L1_62,44B,9,D4L1,48.4974,26.0000,1,A,0.140582,80.33,9,6,3
134,D2L3_44,44A,35,D2L3,50.2295,4.0000,1,A,0.139924,80.18,9,6,1
135,D5L2_34,44A,33,D5L2,56.2917,3.5000,1,A,0.139591,80.03,9,5,3
136,D4L1_32,44A,41,D4L1,55.4256,10.0000,1,A,0.139496,79.88,8,6,2
137,D2L1_31,44A,54,D2L1,33.7750,6.5000,1,A,0.139450,79.73,8,6,4
138,D5L3_23,44A,56,D5L3,26.8468,7.5000,1,A,0.139297,79.58,8,6,3
139,D4L3_28,44A,53,D4L3,41.5692,6.0000,1,A,0.139142,79.43,8,6,3
140,D5L2_3,44A,65,D5L2,20.7846,5.0000,1,A,0.137336,79.28,8,6,1
141,D4L1_12,44A,71,D4L1,14.7224,8.5000,1,A,0.135251,79.14,8,6,2
142,D2Y1_72,44B,7,D2Y1,42.4352,30.5000,1,A,0.133964,78.99,8,6,3
143,D4L3_22,44A,53,D4L3,39.8372,6.0000,1,A,0.133902,78.84,8,6,4
144,D2L1_97,44B,24,D2L1,20.7846,28.0000,1,A,0.133710,78.69,8,6,3
145,D4L3_70,44B,3,D4L3,42.4352,31.5000,1,A,0.133506,78.54,8,6,2
146,D5L2_51,44B,29,D5L2,32.0429,24.5000,1,A,0.131165,78.39,8,6,2
147,D2L1_8,44A,75,D2L1,13.8564,10.0000,1,A,0.131082,78.24,8,6,2
148,D5L2_11,44A,65,D5L2,23.3827,4.5000,1,A,0.130744,78.09,8,6,2
149,D2Y1_3,44A,70,D2Y1,16.4545,8.5000,1,A,0.130456,77.94,8,6,3
150,D5L3_10,44A,69,D5L3,23.3827,6.5000,1,A,0.130031,77.79,8,6,3
151,D3L2_72,44B,16,D3L2,38.1051,24.0000,1,A,0.129628,77.65,8,6,3
152,D2L3_27,44A,51,D2L3,32.0429,5.5000,1,A,0.129465,77.50,8,6,1
153,D1L3_17,44A,64,D1L3,25.1147,13.5000,1,A,0.129355,77.35,8,6,2
154,D1L3_72,44B,13,D1L3,51.0955,24.5000,1,A,0.129158,77.20,8,6,3
155,D1L3_64,44B,13,D1L3,49.3634,22.5000,1,A,0.128982,77.05,8,5,4
156,D2L1_18,44A,55,D2L1,29.4449,8.0000,1,A,0.128597,76.90,8,6,4
157,D2L3_32,44A,35,D2L3,46.7654,4.0000,1,A,0.128363,76.75,8,6,1
158,D2L3_65,44B,14,D2L3,45.0333,23.0000,1,A,0.128146,76.60,8,6,1
159,D5L3_5,44A,69,D5L3,21.6506,7.5000,1,A,0.127179,76.45,8,6,4
160,D3L1_70,44B,1,D3L1,51.0955,31.5000,1,A,0.125658,76.30,8,6,3
161,D4L3_73,44B,3,D4L3,43.3013,31.0000,1,A,0.125234,76.15,8,6,2
162,D1L3_16,44A,64,D1L3,25.1147,12.5000,1,A,0.125032,76.01,8,6,2
163,D2L3_41,44A,35,D2L3,49.3634,4.5000,1,A,0.124739,75.86,8,6,1
164,D5L3_13,44A,69,D5L3,24.2487,6.0000,1,A,0.124267,75.71,8,6,2
165,D1L3_19,44A,64,D1L3,25.9808,12.0000,1,A,0.123582,75.56,8,6,2
166,D5L2_61,44B,10,D5L2,44.1673,25.5000,1,A,0.123174,75.41,8,6,1
167,D2L1_133,44B,8,D2L1,38.9711,28.5000,1,A,0.122625,75.26,8,6,3
168,D4L3_23,44A,53,D4L3,39.8372,7.0000,1,A,0.122319,75.11,8,6,2
169,D1Y1_41,44A,38,D1Y1,53.6936,7.0000,1,A,0.122210,74.96,8,6,3
170,D4L3_24,44A,53,D4L3,39.8372,8.0000,1,A,0.121109,74.81,8,6,2
171,D4L3_33,44A,34,D4L3,51.0955,5.5000,1,A,0.117188,74.66,8,6,2
172,D3L1_11,44A,76,D3L1,10.3923,10.0000,1,A,0.115398,74.37,8,6,3
173,D3L1_8,44A,76,D3L1,9.5263,10.5000,1,A,0.115398,74.52,8,6,3
174,D1L3_71,44B,13,D1L3,51.0955,23.5000,1,A,0.115365,74.22,8,6,3
175,D3L2_29,44A,57,D3L2,41.5692,10.0000,1,A,0.114709,74.07,8,6,2
176,D2Y1_50,44B,26,D2Y1,27.7128,26.0000,1,A,0.114306,73.92,8,6,1
177,D2L1_116,44B,8,D2L1,36.3731,29.0000,1,A,0.114124,73.77,8,6,3
178,D5L2_28,44A,59,D5L2,32.9090,9.0000,1,A,0.113292,73.62,8,6,1
179,D2L3_14,44A,73,D2L3,24.2487,10.0000,1,A,0.112512,73.47,8,6,1
180,D3L1_34,44A,42,D3L1,51.9615,9.0000,1,A,0.111523,73.32,8,6,2
181,D3L2_33,44A,43,D3L2,46.7654,11.0000,1,A,0.111492,73.17,8,6,3
182,D5L3_3,44A,69,D5L3,20.7846,8.0000,1,A,0.111012,73.03,8,6,3
183,D3Y1_105,44B,32,D3Y1,21.6506,24.5000,1,A,0.110401,72.88,8,6,4
184,D5L2_69,44B,10,D5L2,45.8993,27.5000,1,A,0.109721,72.73,8,6,1
185,D1L3_39,44A,40,D1L3,44.1673,8.5000,1,A,0.109586,72.58,8,6,2
186,D3L2_49,44B,25,D3L2,32.0429,25.5000,1,A,0.109105,72.43,8,6,3
187,D1L3_36,44A,40,D1L3,43.3013,8.0000,1,A,0.108820,72.28,8,6,2
188,D2Y1_22,44A,61,D2Y1,39.8372,12.0000,1,A,0.108725,72.13,8,6,2
189,D1L3_11,44A,68,D1L3,10.3923,4.0000,1,A,0.108432,71.98,8,6,2
190,D2Y1_45,44A,36,D2Y1,45.8993,5.5000,1,A,0.108390,71.83,8,6,2
191,D4L1_16,44A,52,D4L1,25.1147,3.5000,1,A,0.108222,71.68,8,5,2
192,D2L3_17,44A,51,D2L3,29.4449,4.0000,1,A,0.107302,71.54,8,6,1
193,D4L1_35,44A,41,D4L1,56.2917,10.5000,1,A,0.107226,71.39,8,6,2
194,D1L3_31,44A,40,D1L3,42.4352,6.5000,1,A,0.106167,71.24,8,6,2
195,D2Y1_54,44B,26,D2Y1,28.5788,27.5000,1,A,0.106166,71.09,8,6,2
196,D4L3_56,44B,19,D4L3,25.1147,32.5000,1,A,0.105852,70.94,8,6,2
197,D5L2_72,44B,10,D5L2,46.7654,27.0000,1,A,0.104331,70.79,8,6,2
198,D1L3_7,44A,68,D1L3,9.5263,3.5000,1,A,0.102834,70.64,8,5,3
199,D2L1_85,44B,24,D2L1,19.0526,28.0000,1,A,0.102270,70.49,8,6,3
200,D2L1_28,44A,55,D2L1,32.9090,6.0000,1,A,0.102036,70.34,8,6,3
201,D3Y1_83,44A,46,D3Y1,52.8275,13.5000,1,A,0.101974,70.19,8,6,4
202,D4L3_31,44A,34,D4L3,51.0955,3.5000,1,A,0.100746,70.04,8,5,2
203,D3L2_43,44A,43,D3L2,50.2295,9.0000,1,A,0.100392,69.90,7,6,3
204,D3L1_36,44A,42,D3L1,51.9615,11.0000,1,A,0.100117,69.75,7,6,2
205,D5L2_68,44B,10,D5L2,45.8993,26.5000,1,A,0.099816,69.60,7,6,1
206,D3L1_19,44A,62,D3L1,34.6410,12.0000,1,A,0.099461,69.45,7,6,2
207,D3L1_14,44A,76,D3L1,11.2583,10.5000,1,A,0.099455,69.30,7,6,3
208,D3L1_71,44B,1,D3L1,51.0955,32.5000,1,A,0.099070,69.15,7,6,2
209,D3Y1_57,44A,50,D3Y1,37.2391,5.5000,1,A,0.098969,69.00,7,6,4
210,D2L1_40,44A,54,D2L1,36.3731,6.0000,1,A,0.098255,68.85,7,6,3
211,D3L2_63,44B,16,D3L2,35.5070,24.5000,1,A,0.097301,68.70,7,6,3
212,D2L1_93,44B,24,D2L1,19.9186,30.5000,1,A,0.096975,68.55,7,6,3
213,D3L2_17,44A,57,D3L2,38.1051,10.0000,1,A,0.096906,68.41,7,6,3
214,D3L1_50,44B,30,D3L1,27.7128,23.0000,1,A,0.096560,68.26,7,6,2
215,D4L3_69,44B,3,D4L3,41.5692,33.0000,1,A,0.096456,68.11,7,5,3
216,D1Y1_25,44A,60,D1Y1,27.7128,9.0000,1,A,0.094202,67.96,7,6,2
217,D5L2_4,44A,65,D5L2,21.6506,3.5000,1,A,0.093753,67.81,7,5,1
218,D3L1_33,44A,42,D3L1,51.0955,11.5000,1,A,0.093382,67.66,7,6,2
219,D2L3_18,44A,51,D2L3,29.4449,5.0000,1,A,0.093341,67.51,7,6,1
220,D4L3_15,44A,77,D4L3,24.2487,14.0000,1,A,0.091718,67.36,7,5,2
221,D3L2_65,44B,16,D3L2,36.3731,23.0000,1,A,0.091600,67.21,7,6,3
222,D2L3_66,44B,14,D2L3,45.0333,24.0000,1,A,0.091067,67.06,7,6,0
223,D3Y1_60,44A,58,D3Y1,37.2391,11.5000,1,A,0.091061,66.92,7,6,3
224,D4L1_15,44A,71,D4L1,15.5885,8.0000,1,A,0.090738,66.77,7,6,2
225,D3L1_38,44A,42,D3L1,52.8275,10.5000,1,A,0.090054,66.62,7,6,3
226,D4L3_49,44B,19,D4L3,23.3827,31.5000,1,A,0.089786,66.47,7,6,2
227,D4L3_27,44A,53,D4L3,40.7032,8.5000,1,A,0.088109,66.32,7,6,2
228,D5L2_67,44B,10,D5L2,45.8993,25.5000,1,A,0.087041,66.17,7,6,1
229,D3Y1_31,44A,50,D3Y1,33.7750,3.5000,1,A,0.085289,66.02,7,5,5
230,D5L3_1,44A,69,D5L3,20.7846,6.0000,1,A,0.085178,65.87,7,6,2
231,D2L1_32,44A,54,D2L1,33.7750,7.5000,1,A,0.085174,65.72,7,6,3
232,D3L2_18,44A,57,D3L2,38.1051,11.0000,1,A,0.084566,65.57,7,6,2
233,D3L1_59,44B,30,D3L1,30.3109,23.5000,1,A,0.084473,65.42,7,6,2
234,D5L3_38,44A,45,D5L3,57.1577,13.0000,1,A,0.082530,65.28,7,6,3
235,D3L1_45,44A,42,D3L1,54.5596,11.5000,1,A,0.081986,65.13,7,6,3
