part,dataset,fold,h,model,metric,mean,std,n,pos,verdict,strata,observed,null_mean,null_std,excess,z,n_ge,n_perm,note
AP,REAL,44A,2,true,AUCPR,0.1305307954521892,0.0033551732292711424,4,,,,,,,,,,,
AP,REAL,44A,2,SID,AUCPR,0.10308142642310927,0.007329124980087711,4,,,,,,,,,,,
AP,REAL,44B,2,posrate,no-skill AUCPR,0.03123471885919571,0.0,1,,,,,,,,,,,
AP,REAL,44B,2,MLP,AUCPR,0.10568677856141198,0.002379269337828684,4,,,,,,,,,,,
AP,REAL,44B,2,nograph,AUCPR,0.10710249424386833,0.0013966489876118377,4,,,,,,,,,,,
AP,REAL,44B,2,random,AUCPR,0.11109140991267813,0.003240050682030885,4,,,,,,,,,,,
AP,REAL,44B,2,true,AUCPR,0.12298198924691894,0.0011009094956613357,4,,,,,,,,,,,
AP,REAL,44B,2,SID,AUCPR,0.10450922491765782,0.007058094573215927,4,,,,,,,,,,,
DECOMP,REAL,pooled,2,temporal (nograph-MLP),pairedAUCPR,0.005518721965788703,0.006933510774243058,8,7,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,2,temporal (nograph-MLP),pairedAUCPR,0.009621728249121036,0.007653006745690187,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,2,temporal (nograph-MLP),pairedAUCPR,0.0014157156824563706,0.001977197496807148,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,pooled,2,prevalence (random-nograph),pairedAUCPR,0.001946147829640062,0.0030151901448142765,8,7,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,2,prevalence (random-nograph),pairedAUCPR,-9.662000952966737e-05,0.001967771594465849,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,2,prevalence (random-nograph),pairedAUCPR,0.003988915668809791,0.002442297541515217,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,2,STRUCTURE (true-random),pairedAUCPR,0.009405809959171885,0.004731282632757797,8,8,POS,,,,,,,,,
DECOMP,REAL,44A,2,STRUCTURE (true-random),pairedAUCPR,0.006921040584102964,0.004070794619797651,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,2,STRUCTURE (true-random),pairedAUCPR,0.011890579334240807,0.003981274189369127,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,2,total graph (true-nograph),pairedAUCPR,0.011351957788811947,0.005541419462296394,8,8,POS,,,,,,,,,
DECOMP,REAL,44A,2,total graph (true-nograph),pairedAUCPR,0.006824420574573296,0.003861628196711404,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,2,total graph (true-nograph),pairedAUCPR,0.0158794950030506,0.002346337684981891,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,2,total STGNN-MLP (true-MLP),pairedAUCPR,0.016870679754600652,0.0076629377757787415,8,8,POS,,,,,,,,,
DECOMP,REAL,44A,2,total STGNN-MLP (true-MLP),pairedAUCPR,0.016446148823694332,0.010356498040248891,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,2,total STGNN-MLP (true-MLP),pairedAUCPR,0.01729521068550697,0.0031342823788934825,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,2,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.02296106667917054,0.008843976825900365,8,0,NEG,,,,,,,,,
DECOMP,REAL,44A,2,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.02744936902907995,0.008753721953246876,4,0,NEG,,,,,,,,,
DECOMP,REAL,44B,2,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.018472764329261128,0.006286055057901133,4,0,NEG,,,,,,,,,
AP,REAL,44A,4,posrate,no-skill AUCPR,0.05941736325621605,0.0,1,,,,,,,,,,,
AP,REAL,44A,4,MLP,AUCPR,0.19147351937483464,0.007219452269896915,4,,,,,,,,,,,
AP,REAL,44A,4,nograph,AUCPR,0.19556787293828637,0.0025425963790147023,4,,,,,,,,,,,
AP,REAL,44A,4,random,AUCPR,0.19383985852838784,0.006412641996317042,4,,,,,,,,,,,
AP,REAL,44A,4,true,AUCPR,0.19895732266040217,0.003068263636537012,4,,,,,,,,,,,
AP,REAL,44A,4,SID,AUCPR,0.17071963171191076,0.0008769473688341697,4,,,,,,,,,,,
AP,REAL,44B,4,posrate,no-skill AUCPR,0.06004909798502922,0.0,1,,,,,,,,,,,
AP,REAL,44B,4,MLP,AUCPR,0.18783198443260074,0.003114968436166943,4,,,,,,,,,,,
AP,REAL,44B,4,nograph,AUCPR,0.188359128600797,0.001701317095625232,4,,,,,,,,,,,
AP,REAL,44B,4,random,AUCPR,0.19396174721527717,0.008493913317660882,4,,,,,,,,,,,
AP,REAL,44B,4,true,AUCPR,0.2162711370557074,0.0014421627288707646,4,,,,,,,,,,,
AP,REAL,44B,4,SID,AUCPR,0.15937183935472532,0.0007558710662814694,4,,,,,,,,,,,
DECOMP,REAL,pooled,4,temporal (nograph-MLP),pairedAUCPR,0.0023107488658239833,0.0052877706509492205,8,4,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,4,temporal (nograph-MLP),pairedAUCPR,0.004094353563451732,0.006472997492073481,4,2,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,4,temporal (nograph-MLP),pairedAUCPR,0.0005271441681962349,0.0027674625466103018,4,2,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,pooled,4,prevalence (random-nograph),pairedAUCPR,0.0019373021022908304,0.007863745882586622,8,5,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,4,prevalence (random-nograph),pairedAUCPR,-0.001728014409898511,0.006962448431413156,4,2,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,4,prevalence (random-nograph),pairedAUCPR,0.005602618614480172,0.0069521378138420785,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,pooled,4,STRUCTURE (true-random),pairedAUCPR,0.013713426986222296,0.011248226107827584,8,7,POS,,,,,,,,,
DECOMP,REAL,44A,4,STRUCTURE (true-random),pairedAUCPR,0.005117464132014346,0.006083150320490611,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,4,STRUCTURE (true-random),pairedAUCPR,0.022309389840430245,0.008261919180317451,4,4,POS,,,,,,,,,
